objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,
coll001,Program_Planning_Card,,Program: Planning Card,Cynthia Hamilton,11/24/22,Blank card for 2023 program intitative board,Community,CSL,28.99,82.47,Prep work,Active,Program,image/jpeg,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll002,Program_SpeedDating.pdf,,Program: Speed Dating for the Library,Cynthia Hamilton,8/1/2020,Program outline for library patron get to know each other event,Community,CSL,28.99,82.47,Librarian Programming Blog,Active,Program,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll004,Pathfinder_Library_Programing.pdf,,Pathfinder: Library Programming,Cynthia Hamilton,11/1/2022,"Pathfinder, library programming resources",Internal,CSL,28.99,82.47,Program Development,Active,Pathfinder,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/,
coll005,Pathfinder_Digital_Fair_Event_Older_Adults.pdf,,Pathfinder: Digital Fair Event Older Adults,Cynthia Hamilton,11/15/2022,"Pathffinder, Digital Fair",TECH,CSL,28.99,82.47,Program Development,Active,Pathfinder,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/,
coll006,Pathfinder_BookClubs.pdf,,Pathfinder: Book Clubs,Cynthia Hamilton,5/1/2021,"Pathfinder, book club resources",Books,CSL,28.99,82.47,BOD,Active,Pathfinder,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/,
coll007,Flyer_Tricky_Tray_2021.pdf,,Flyer Tricky Tray 2020,Cynthia Hamilton,11/1/2022,Flyer forannual tricky tray event,Community,CSL,28.99,82.47,Licencsed art,Fundraiser,Flyer,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/,
coll008,Flyer_Trick_or_Treat.pdf,,Flyer: Trick Or Treat,Cynthia Hamilton,11/1/2022,Flyer for library Halloween event,Community,CSL,28.99,82.47,Licencsed art,Active,Flyer,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/,
coll009,Flyer_Tanner_Event.pdf,,"Flyer: Tanner, Therapy Dog Event",Cynthia Hamilton,11/1/2022,Flyer for therapy dog event,Community,CSL,28.99,82.47,Caring Canines,Active,Flyer,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll010,Flyer_Rainbow_CSL_Ad.pdf,,Flyer: CSL ad (Rainbow Graphic),Cynthia Hamilton,11/1/2022,Flyer for CSL Rainbow Artwork,Community,CSL,28.99,82.47,Licencsed art,Passive,Flyer,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/,
coll011,Flyer_New_Patrons.pdf,,Flyer: New Patron,Cynthia Hamilton,11/1/2022,Flyer for New Patrons Drive,Community,CSL,28.99,82.47,ALA,Passive,Flyer,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll012,Flyer_Love_Your_Library_Month.pdf,,Flyer: Lover Your Library Month,Cynthia Hamilton,11/1/2022,Flyer for Love Your Library Month,Community,CSL,28.99,82.47,ALA,Passive,Flyer,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll013,Flyer_Ice_Cream_Social.pdf,,Flyer: Ice Cream Social,Cynthia Hamilton,7/13/2021,Flyer for the annual ice cream social event,Community,CSL,28.99,82.47,Licencsed art,Active,Flyer,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/,
coll014,Flyer_Easter_Basket_Raffle.pdf,,Flyer: Easter Basket Raffle,Cynthia Hamilton,3/1/2022,Flyer for spring basket raffle,Community,CSL,28.99,82.47,Licencsed art,Fundraiser,Flyer,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll015,Flyer_CSL_BookSale.pdf,,Flyer: Library Book Sale,Cynthia Hamilton,11/1/2022,Flyer for Quarterly library book sale,Community,CSL,28.99,82.47,Licencsed art,Fundraiser,Flyer,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/,
coll016,Flyer_Cornhole_Raffle.pdf,,Flyer: Cornhole Board Raffle,Cynthia Hamilton,11/1/2022,Flyer Cornhole Raffle,Community,CSL,28.99,82.47,MEOOHMY,Fundraiser,Flyer,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll017,Flyer_Bring_Back_Our_Books.pdf,,Flyer: Bring Back Our Books,Brenda Vaughn,11/1/2022,Flyer for unreturned books program,Community,CSL,28.99,82.47,ALA,Passive,Flyer,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll018,Flyer_Bad_Art_Nite.pdf,,Flyer: Bad Art Nite,Cynthia Hamilton,11/1/2022,Flyer for bad art nite,Crafts,CSL,28.99,82.47,Image files,Active,Flyer,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll019,Flyer_Author_events.pdf,,Flyer: Author Events,Cynthia Hamilton,11/1/2022,Flyer for Local Writers Group events,Books,CSL,28.99,82.47,Authors (vary),Active,Flyer,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/,
coll020,Proposal_Policy.pdf,,Proposal: Policy for Proposal Submissions,Cynthia Hamilton,11/1/2022,Proposed policy for submission of library programing proposals,Internal,CSL,28.99,82.47,Policy Guide,Policy,Proposal,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/,
coll021,Flyer_Computer_Lab_event.pdf,,Flyer: Computer Lab,Caroline Reed,10/15/2022,Flyer for Saturday morning computer drop-in class for low-tech users,TECH,CSL,28.99,82.47,Image files,Active,Flyer,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/,
