coll001,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,Proposal_Bad_Art_Nite.pdf,,,Proposal: Bad Art Nite,Cynthia Hamilton,8/1/2020,"Proposal for a freestyle craft event for tweens, teens, families, adults. Everyone has access to a pile of ridiculous craft and art material. The â€œworstâ€ piece of art will win a hideously tacky trophy and crown at the end of the night.",Crafts,CMH,28.99,-82.47,AAPL event,Active,text,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll004,Program_SpeedDating.pdf,,,Program: Speed Dating for the Library,Cynthia Hamilton,8/1/2020,Program outline for library patron get to know each other event,Community,CMH,38.99,-76.94,Librarian Programming Blog,Active,text,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll005,Pathfinder_Library_Programing.pdf,,,Pathfinder: Library Programming,Cynthia Hamilton,4/1/2022,"Pathfinder, library programming resources",Internal,CMH,38.99,-76.94,Program Development,Active,text,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll006,Pathfinder_Digital_Fair_Event_Older_Adults.pdf,,,Pathfinder: Digital Fair Event Older Adults,Cynthia Hamilton,11/5/2022,"Pathffinder, Digital Fair",STEM,CMH,28.99,-82.47,Program Development,Active,text,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll007,Pathfinder_BookClubs.pdf,,,Pathfinder: Book Clubs,Cynthia Hamilton,5/1/2021,"Pathfinder, book club resources",Books,CMH,38.99,-76.94,BOD,Active,text,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll008,Flyer_Tricky_Tray_2021.pdf,,,Flyer Tricky Tray 2020,Cynthia Hamilton,2020,Flyer forannual tricky tray event,Community,CSL,28.99,-82.47,Licencsed art,Fundraiser,image,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/
coll009,Flyer_Trick_or_Treat.pdf,,,Flyer: Trick Or Treat,Cynthia Hamilton,2022,Flyer for library Halloween event,Community,CSL,28.99,-82.47,Licencsed art,Active,image,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/
coll010,Flyer_Tanner_Event.pdf,,,"Flyer: Tanner, Therapy Dog Event",Cynthia Hamilton,2021,Flyer for therapy dog event,Community,CSL,28.99,-82.47,Caring Canines,Active,image,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll011,Flyer_Rainbow_CSL_Ad.pdf,,,Flyer: CSL ad (Rainbow Graphic),Cynthia Hamilton,2021,Flyer for CSL Rainbow Artwork,Community,CSL,28.99,-82.47,Licencsed art,Passive,image,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/
coll012,Flyer_New_Patrons.pdf,,,Flyer: New Patron,Cynthia Hamilton,2022,Flyer for New Patrons Drive,Community,CSL,28.99,-82.47,ALA,Passive,image,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll013,Flyer_Love_Your_Library_Month.pdf,,,Flyer: Lover Your Library Month,Cynthia Hamilton,2022,Flyer for Love Your Library Month,Community,CSL,28.99,-82.47,ALA,Passive,image,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll014,Flyer_Ice_Cream_Social.pdf,,,Flyer: Ice Cream Social,Cynthia Hamilton,5/15/2022,Flyer for the annual ice cream social event,Community,CSL,28.99,-82.47,Licencsed art,Active,image,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/
coll015,Flyer_Easter_Basket_Raffle.pdf,,,Flyer: Easter Basket Raffle,Cynthia Hamilton,2/1/2022,Flyer for spring basket raffle,Community,CSL,28.99,-82.47,Licencsed art,Fundraiser,image,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll016,Flyer_CSL_BookSale.pdf,,,Flyer: Library Book Sale,Cynthia Hamilton,10/1/2022,Flyer for Quarterly library book sale,Community,CSL,28.99,-82.47,Licencsed art,Fundraiser,image,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/
coll017,Flyer_Cornhole_Raffle.pdf,,,Flyer: Cornhole Board Raffle,Cynthia Hamilton,2/1/2022,Flyer Cornhole Raffle,Community,CSL,28.99,-82.47,MEOOHMY,Fundraiser,image,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll018,Flyer_Bring_Back_Our_Books.pdf,,,Flyer: Bring Back Our Books,Brenda Vaughn,5/1/2022,Flyer for unreturned books program,Community,CSL,28.99,-82.47,ALA,Passive,image,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll019,Flyer_Bad_Art_Nite.pdf,,,Flyer: Bad Art Nite,Cynthia Hamilton,11/1/2022,Flyer for bad art nite,Crafts,CSL,28.99,-82.47,Image files,Active,image,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll020,Flyer_Author_events.pdf,,,Flyer: Author Events,Cynthia Hamilton,10/1/2022,Flyer for Local Writers Group events,Books,CSL,28.99,-82.47,Authors (vary),Active,image,application/pdf,en,In copyright,http://rightsstatements.org/vocab/InC/1.0/
coll021,Proposal_Policy.pdf,,,Proposal: Policy for Proposal Submissions,Cynthia Hamilton,3/1/2021,Proposed policy for submission of library programing proposals,Internal,CMH,28.99,-82.47,Policy Guide,Policy,text,application/pdf,en,In copyright - educational use only,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll022,Flyer_Computer_Lab_event.pdf,,,Flyer: Computer Lab,Caroline Reed,11/2/2022,Flyer for Saturday morning computer drop-in class for low-tech users,STEM,CSL,28.99,-82.47,Image files,Active,image,application/pdf,en,No copyright - non-commercial use only,http://rightsstatements.org/vocab/NoC-NC/1.0/
